id,institutioncode,collectioncode,ownerinstitutioncode,collectionid,basisofrecord,occurrenceid,catalognumber,othercatalognumbers,higherclassification,kingdom,phylum,class,order,family,scientificname,taxonid,scientificnameauthorship,genus,subgenus,specificepithet,verbatimtaxonrank,infraspecificepithet,taxonrank,identifiedby,dateidentified,identificationreferences,identificationremarks,taxonremarks,identificationqualifier,typestatus,recordedby,recordnumber,eventdate,year,month,day,startdayofyear,enddayofyear,verbatimeventdate,occurrenceremarks,habitat,fieldnumber,eventid,informationwithheld,datageneralizations,dynamicproperties,associatedoccurrences,associatedsequences,associatedtaxa,reproductivecondition,establishmentmeans,lifestage,sex,individualcount,preparations,country,stateprovince,county,municipality,locality,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,verbatimcoordinates,georeferencedby,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,minimumelevationinmeters,maximumelevationinmeters,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,verbatimelevation,disposition,language,recordenteredby,modified,rights,rightsholder,accessrights,recordid,references,,,,,,,,,,,
25110775,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,95e1f6af-e7fd-4bba-9640-256b348d1f09,BRIT442600,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Acalypha,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Acalypha ostryifolia,122,Riddell ex J. M. Coult.,Acalypha,,ostryifolia,,,Species,,,,,,,,"Eric Sundell; Dale Thomas, Carl Amason",15352,7/2/01,2001,7,2,183,,2-Jul-01,,Roadside.,,,,,,,,,,,,,,,United States,Arkansas,Phillips,,"Hwy 85, 6-7 mi. N of jct. Ark. Hwys 44 & 85 & Old Town Lake.",,,,,,,,,,,,,,,,,,,,Julie62,7/19/21 13:47,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:95e1f6af-e7fd-4bba-9640-256b348d1f09,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25110775,,,,,,,,,,,
23541612,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,f39e0163-9af5-439d-8511-df0a79641d83,BRIT460296,21062,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Salviniales|Salviniaceae|Azolla,Plantae,Pteridophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla mexicana,904,Schlecht. & Cham. ex K. Presl,Azolla,,mexicana,,,Species,,,,,,,,J.H. Peck,07-1501,7/16/07,2007,7,16,197,,,Sheet 2 of 2.,"flood plain woods and swamps; emergents, and submerged aquatics plants along river",,,,,,,,,,,,,,,United States,Arkansas,Pulaski,,"Little Maumelle River from Mountain Valley boat launch westward, south of Twin Rivers County Park to near southern boundary of Pinnacle Mt. St. Park",,,,,,,,,,,,,,,,,,,,jesslane13,10/17/19 9:37,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:f39e0163-9af5-439d-8511-df0a79641d83,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=23541612,,,,,,,,,,,
23541618,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,bc881ff9-92df-4dac-b20a-201e30e2101e,BRIT460297,21064,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Salviniales|Salviniaceae|Azolla,Plantae,Pteridophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla mexicana,904,Schlecht. & Cham. ex K. Presl,Azolla,,mexicana,,,Species,,,,,,,,J.H. Peck,07-1501,7/16/07,2007,7,16,197,,,Sheet 1 of 2.,"flood plain woods and swamps; emergents, and submerged aquatics plants along river",,,,,,,,,,,,,,,United States,Arkansas,Pulaski,,"Little Maumelle River from Mountain Valley boat launch westward, south of Twin Rivers County Park to near southern boundary of Pinnacle Mt. St. Park",,,,,,,,,,,,,,,,,,,,jesslane13,1/16/20 13:54,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:bc881ff9-92df-4dac-b20a-201e30e2101e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=23541618,,,,,,,,,,,
23550153,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,4d979597-0b2a-4410-9fb3-d8d500521465,BRIT460701,23722,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Cystopteridaceae|Cystopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris tenuis,943,(Michx.) Desv.,Cystopteris,,tenuis,,,Species,,,,,,,,J. H. Peck,09-430,6/14/09,2009,6,14,165,,,,North-facing river bluff.,,,,,,,,,,,,,,,United States,Arkansas,Pulaski,Little Rock,Murray Park.,,,,,,,,,,,,,,,,,,,,jesslane13,10/21/19 11:01,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:4d979597-0b2a-4410-9fb3-d8d500521465,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=23550153,,,,,,,,,,,
24028088,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,1f743808-cca7-484f-8ad7-24d52f725fec,BRIT432876,,Plantae|Tracheobionta|Pteridophyta|Filicopsida|Ophioglossales|Ophioglossaceae|Ophioglossum,Plantae,Pteridophyta,Filicopsida,Ophioglossales,Ophioglossaceae,Ophioglossum engelmannii,1725,Prantl,Ophioglossum,,engelmannii,,,Species,"J. C. Zech, P. R. Manning, W. H. Wagner, Jr. (Sul Ross State Univ.)",1998-10,,,,,,Delzie Demaree,26055,5/18/47,1947,5,18,138,,,,Fertile glades.,,,,,,,,,,,,,,,United States,Arkansas,Sharp,,P. O. Hardy,,,,,,,,,,,,122,,,,,400 ft,,,sfrary,11/17/19 10:20,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:1f743808-cca7-484f-8ad7-24d52f725fec,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24028088,,,,,,,,,,,
24022987,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,8848b0bc-d845-4555-9c16-4e171c38b4d2,BRIT432099,,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Pellaea,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea atropurpurea,1745,(L.) Link,Pellaea,,atropurpurea,,,Species,,,,,,,,Florence Montgomery Givens,4681,5/27/86,1986,5,27,147,,,,Sandstone outcrop.,,,,,,,,,,,,,,,United States,Arkansas,Izard,,0.9 miles N of Calico Rock at junction of Rt 56 and Rt 5 on Rt 5.,,,,,,,,,,,,,,,,,,,,jesslane13,11/15/19 8:12,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:8848b0bc-d845-4555-9c16-4e171c38b4d2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24022987,,,,,,,,,,,
24000759,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,6f2f5920-1b18-43ba-b80e-6a75bf0fbfaa,BRIT462638,16665,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Athyriaceae|Athyrium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Athyriaceae,Athyrium filix-femina,1839,(L.) Roth,Athyrium,,filix-femina,,,Species,,,,,,,,O. W. Stephens,2002-003,9/7/02,2002,9,7,250,,,,,,,,,,,,,,,,,,,United States,Arkansas,Pulaski,Little Rock,Allsop Park.,,,,,,,,,,,,,,,,,,,,jesslane13,11/8/19 8:58,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:6f2f5920-1b18-43ba-b80e-6a75bf0fbfaa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24000759,,,,,,,,,,,
19894788,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,c18945e2-a15a-457f-913e-0003ab154e85,BRIT462271,17443,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cheilanthes,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes tomentosa,1856,Link,Cheilanthes,,tomentosa,,,Species,,,,,,,,R. Dale Thomas,16295,8/5/69,1969,8,5,217,,5 Aug. 1969,,,,,,,,,,,,,,,,,United States,Arkansas,Izard,,"Bluffs east of White River along road to Croker from Guion, Ark.",,,,,,,,,,,,,,,,,,,,emilyinglis,12/7/21 13:41,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:c18945e2-a15a-457f-913e-0003ab154e85,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19894788,,,,,,,,,,,
22917985,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,4540b035-9a8a-41db-bb52-a8e1ce640eaa,BRIT429514,,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Cystopteridaceae|Cystopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris bulbifera,1870,(L.) Bernh.,Cystopteris,,bulbifera,,,Species,,,,,,,,Delzie Demaree,27835,6/18/49,1949,6,18,169,,,,Fertile wooded steep bluff.,,,,,,,,,,,,,,,United States,Arkansas,Stone,,P.O. Onia,,,,,,,,,,,,244,,,,,800 ft,,,sfrary,11/10/19 12:18,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:4540b035-9a8a-41db-bb52-a8e1ce640eaa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22917985,,,,,,,,,,,
22917986,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,eefd9f29-afb3-458e-b913-37be94703b00,BRIT431577,,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Cystopteridaceae|Cystopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris bulbifera,1870,(L.) Bernh.,Cystopteris,,bulbifera,,,Species,,,,,,,,Delzie Demaree,27840,6/18/49,1949,6,18,169,,,,Moist ledges near a cave.,,,,,,,,,,,,,,,United States,Arkansas,Stone,,P. O. Onia,,,,,,,,,,,,244,,,,,800 ft,,,sfrary,11/10/19 13:12,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:eefd9f29-afb3-458e-b913-37be94703b00,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22917986,,,,,,,,,,,
23865570,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,345d6388-6c9e-4735-b507-d7e2aeb7e9e0,BRIT460882,23048,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Cystopteridaceae|Cystopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris tennesseensis,1872,Shaver,Cystopteris,,tennesseensis,,,Species,,,,,,,,J. H. Peck,86811,8/20/86,1986,8,20,232,,,,Rock outcrops.,,,,,,,,,,,,,,,United States,Arkansas,Franklin,,T11N R28W S7,,,,,,,,,,,,,,,,,,,,jesslane13,3/15/21 8:35,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:345d6388-6c9e-4735-b507-d7e2aeb7e9e0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=23865570,,,,,,,,,,,
19895794,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,37e0b589-ca12-4ed5-99d2-78400d750e5b,BRIT462006,13829,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium platyneuron,1894,"(L.) Britton, Sterns & Poggenb.",Asplenium,,platyneuron,,,Species,,,,,,,,J. C. Schosser,9007,10/30/90,1990,10,30,303,,30 Oct. 1990,,,,,,,,,,,,,,,,,United States,Arkansas,Pulaski,,"Henderson Junior High, area behind school near drainage ditch",,,,,,,,,,,,,,,,,,,,emilyinglis,11/30/21 18:01,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:37e0b589-ca12-4ed5-99d2-78400d750e5b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19895794,,,,,,,,,,,
22075148,SMU,,SMU,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,43003d45-2c99-466c-8639-b7969aec6ebb,BRIT472507,,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium platyneuron,1894,"(L.) Britton, Sterns & Poggenb.",Asplenium,,platyneuron,,,Species,,,,,,,,R. Dale Thomas; Bio. 451 Class,15256,7/21/69,1969,7,21,202,,,,,,,,,,,,,,,,,,,United States,Arkansas,Independence,,"Beside Polk Bayou, N. of road from Cushman to Sandtown.",,,,,,,,,,,,,,,,,,,,sjackson86,7/29/19 14:18,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:43003d45-2c99-466c-8639-b7969aec6ebb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22075148,,,,,,,,,,,
22075281,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,42bf0d8c-5b86-4f5c-9521-7bf888707cb8,BRIT472508,,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium platyneuron,1894,"(L.) Britton, Sterns & Poggenb.",Asplenium,,platyneuron,,,Species,,,,,,,,Delzie Demaree,28505,9/25/49,1949,9,25,268,,,,Dry rocky creek banks.,,,,,,,,,,,,,,,United States,Arkansas,Izard,,P. O. Melbourne.,,,,,,,,,,,,,,,,,,,,carrollk2015,7/29/19 19:06,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:42bf0d8c-5b86-4f5c-9521-7bf888707cb8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22075281,,,,,,,,,,,
19894751,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,ef709f98-a5c9-4d5d-bde7-633b53721fc4,BRIT462262,16663,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Adiantum,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum capillus-veneris,1900,L.,Adiantum,,capillus-veneris,,,Species,,,,,,,,O. W. Stephens,2002-005,9/7/02,2002,9,7,250,,7-Sep-02,,,,,,,,,,,,,,,,,United States,Arkansas,Pulaski,,"Little Rock, Allsop Park",,,,,,,,,,,,,,,,,,,,emilyinglis,12/7/21 13:41,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:ef709f98-a5c9-4d5d-bde7-633b53721fc4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19894751,,,,,,,,,,,
22798617,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,3637bc52-6fb5-4588-a50f-74d9d6803ee7,BRIT57095,,Plantae|Tracheobionta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium trichomanes,1903,L.,Asplenium,,trichomanes,,,Species,,,,,,,,Jewel E. Moore,782,6/18/55,1955,6,18,169,,,,,,,,,,,,,,,,,,,United States,Arkansas,Conway,,"Petit Jean Mountain, Petit Jean State Park, PO Morrilton.",,,,,,,,,,,,,,,,,,,,kimberlietx,8/29/19 12:26,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:3637bc52-6fb5-4588-a50f-74d9d6803ee7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22798617,,,,,,,,,,,